2020-04-21 15:57:57.775660: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:58:39.812772: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:59:15.143277: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 15:59:20.000093: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/despedirse'
2020-04-21 16:00:00.145464: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:00:20.203331: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/despedirse'
2020-04-21 16:00:30.097830: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/saludar'
2020-04-21 16:00:36.719613: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ayuda'
2020-04-21 16:00:55.213341: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/help'
2020-04-21 16:01:00.039917: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ping'
2020-04-21 16:01:04.337614: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
2020-04-21 16:03:46.012958: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/ayuda'
2020-04-21 16:03:50.849155: {'username': u'Serpaldom', 'first_name': u'Sergio', 'last_name': u'Palacios Dom\xednguez', 'is_bot': False, 'language_code': u'es', 'id': 827169848} Ha enviado: '/recursos'
